Id,Name,Status,Sector,Type,Phase,Specialization,ExamNo,Province,District_Municipality,Local_Municipality,Postal_Code
800016931,Njomane Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800017012,Nkokweni Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800017038,Nkonjane Primary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Mp,Nkangala District Municipality,Emalahleni Local Municipality,
800017046,Nkosabo Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800017053,Nkosiphile Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800017087,Nkotolane Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800017095,Nkukhunda Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800017145,Nobuhle Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Thembisile Local Municipality,
800017194,Nokuthula Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800017210,Nqobile Primary School,Operational,Public,Ordinary School,Primary School,Full Service,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800017251,Nsizwane Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800017269,Ntababomvu Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800017277,Ntabanhle Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Chief Albert Luthuli Local Municipality,
800017293,Nteseng Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800017327,Nthoroane Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,Nan,Mp,Gert Sibande District Municipality,Dipaleseng Local Municipality,
800017343,Ntithane Primary School,Operational,Public,Ordinary School,Combined School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Mkhondo Local Municipality,
800017350,Ntiyi Secondary School,Operational,Public,Ordinary School,Secondary School,Ordinary School,6262504,Mp,Ehlanzeni District Municipality,Nkomazi Local Municipality,
800017491,Nyalungu Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Mbombela Local Municipality,
800017533,Nyandeni Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Gert Sibande District Municipality,Lekwa Local Municipality,
800017590,Gekombineerde Skool Ogies,Operational,Public,Ordinary School,Combined School,Ordinary School,6305206,Mp,Nkangala District Municipality,Emalahleni Local Municipality,
800017616,Okhela Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Victor Khanye Local Municipality,
800017764,Lydenburg Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Thaba Chweu Local Municipality,
800017806,Osizweni Primary School,Operational,Public,Ordinary School,Combined School,Ordinary School,Nan,Mp,Gert Sibande District Municipality,Govan Mbeki Local Municipality,
800017822,Othandweni Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Victor Khanye Local Municipality,
800017913,Patrick Mankolane Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Nkangala District Municipality,Dr Js Moroka Local Municipality,
800017947,Pilgrims Rest Primary School,Operational,Public,Ordinary School,Primary School,Primary Subjects,Nan,Mp,Ehlanzeni District Municipality,Thaba Chweu Local Municipality,
